Year,State,University,Sections,Overall Pass %,Average Score,Average Age
2018,Alabama,Alabama state university,15,26.7%,67.5,35.8
2018,Alabama,Athens State University,40,30%,68,35
2018,Alabama,Auburn University,658,65.3%,76.1,25.2
2018,Alabama,Auburn University at Montgomery,50,62.0%,74.1,30.8
2018,Alabama,Birmingham-Southern College,45,40.0%,67.4,24.1
2018,Alabama,Huntingdon College,26,57.7%,73.6,25.3
2018,Alabama,Jacksonville State University,56,53.6%,72.9,31.8
2018,Alabama,Oakwood University,14,64.3%,70.5,24.3
2018,Alabama,Samford University,153,65.4%,76.0,25.7
2018,Alabama,Spring Hill College,43,44.2%,72.8,26.7
2018,Alabama,The University of alabama,948,61.1%,74.8,24.6
2018,Alabama,The University of West Alabama,26,38.5%,64.9,25.7
2018,Alabama,Troy University,174,51.7%,72.0,27.8
2018,Alabama,University of Alabama at Birmingham,237,51.5%,71.5,30.1
2018,Alabama,University of Alabama in Huntsville,72,47.2%,72.0,28.5
2018,Alabama,University of Alabama System Office,11,45.5%,74.7,24.6
2018,Alabama,University of Mobile,22,40.9%,69.9,27.8
2018,Alabama,University of Montevallo,40,37.5%,70.0,25.6
2018,Alabama,University of North Alabama,59,39.0%,68.0,31.1
2018,Alabama,University of South Alabama,133,46.6%,68.5,30.0
2018,Alaska,University of Alaska Anchorage,120,55.8%,72.9,29.4
2018,Alaska,University of Alaska Fairbanks,85,41.2%,69.2,31.4
2018,Alaska,University of Alaska Southeast,18,55.6%,75.2,32.0
2018,Arizona,Arizona State University,740,58.0%,74.0,27.9
2018,Arizona,Devry University-Phoenix campus,16,56.3%,74.5,35.0
2018,Arizona,Grand Canyon University,122,30.3%,62.9,30.1
2018,Arizona,Northern Arizona university,192,57.3%,73.9,28.1
2018,Arizona,University of Arizona,580,58.6%,74.6,26.8
2018,Arizona,University of Phoenix,596,28.7%,63.4,39.7
2018,Arkansas,Arkansas State University-Jonesboro,122,41.8%,68.8,30.1
2018,Arkansas,Arkansas Tech University,72,55.6%,72.4,29.9
2018,Arkansas,Harding University Main Campus,190,44.2%,70.1,26.6
2018,Arkansas,Henderson State University,55,45.5%,66.7,29.8
2018,Arkansas,Hendrix College,41,48.8%,72.6,25.9
2018,Arkansas,John Brown University,26,50.0%,70.3,26.5
2018,Arkansas,Ouachita Baptist University,59,50.8%,71.1,24.4
2018,Arkansas,Southern Arkansas University,40,52.5%,73.2,26.9
2018,Arkansas,University of Arkansas at Fort Smith,44,34.1%,88.8,34.4
2018,Arkansas,University of Arkansas at Little Rock,87,54.0%,71.2,33.9
2018,Arkansas,University of Arkansas at Monticello,30,30.0%,67.7,30.0
2018,Arkansas,University of Arkansas at Pine Bluff,13,46.2%,72.5,36.7
2018,Arkansas,University of Arkansas-Main Campus,410,58.8%,74.6,25.1
2018,Arkansas,University of Central Arkansas,176,46.6%,69.7,28.5
2018,Arkansas,University of the Ozarks,19,42.1%,71.9,28.3
2018,California,American River College,18,66.7%,78.1,34.7
2018,California,Ashford University,32,46.9%,66.5,32.4
2018,California,Azusa Pacific University,111,34.2%,67.8,25.8
2018,California,Biola University,121,47.1%,70.6,25.2
2018,California,Brandman University,12,33.3%,60.8,29.9
2018,California,California Baptist University,54,22.2%,60.3,26.6
2018,California,California Lutheran University,101,39.6%,66.5,29.3
2018,California,California Polytechnic University-San Luis Obispo,624,65.2%,75.9,24.8
2018,California,California State Polytechnic University-Pomona,490,40.2%,68.1,29.2
2018,California,California State University Channel Islands,23,34.8%,67.1,26.9
2018,California,California State University-Bakersfield,105,34.3%,61.8,28.9
2018,California,California State University-Chico,255,54.9%,73.3,27.5
2018,California,California State University-Dominguez Hills,109,21.1,54.5,31.0
2018,California,California State University-East Bay,470,39.1%,66.8,32.9
2018,California,California State University-Fresno,288,37.2%,66.7,28.8
2018,California,California State University-Fullerton,1086,46.0%,70.0,29.6
2018,California,California State University-Long Beach,596,43.1%,68.4,29.0
2018,California,California State University-Los Angeles,410,27.8%,61.8,32.9
2018,California,California State University-Monterey Bay,34,41.2%,66.6,30.0
2018,California,California State University-Northridge,1079,43.1%,68.4,29.8
2018,California,California State University-Sacramento,434,43.3%,68.1,29.4
2018,California,California State University-San Bernardino,269,34.2%,67.9,30.9
2018,California,California State University-San Marcos,178,57.9%,72.9,30.0
2018,California,California State University-Stanislaus,138,36.2%,66.4,31.7
2018,California,Chapman University,162,51.9%,73.1,25.3
2018,California,Clarement McKenna College,44,72.7%,78.7,24.7
2018,California,College of San Mateo,11,18.2%,58.7,25.1
2018,California,De Anza College,33,39.4%,67.9,30.4
2-18,California,Devry University-Pomona Campus,18,27.8%,65.4,39.5
2018,Calfornia,Diablo Valley College,21,38.1%,67.5,33.2
2018,California,El Camino College,12,41.7%,74.5,29.3
2018,California,Foothill College,110,53.6%,71.2,28.3
2018,California,Fresno Pacific University,28,35.7%,66.7,30.5
2018,California,Glendale Community College,17,41.2%,69.1,30.2
2018,California,Golden Gate University,383,41.5%,68.3,34.5
2018,California,Humboldt State University,36,44.4%,69.9,28.1
2018,California,Irvine Valley College,27,51.9%,69.3,26.9
2018,California,La Sierra University,39,38.5%,66.1,27.3
2018,California,Loyola Marymount  University,56,33.9%,68.6,30.4
2018,California,Menlo College,61,24.6%,59.8,25.0
2018,California,Mount Saint Mary's University,31,41.9%,64.7,39.0
2018,California,Mt. San Antonio College,18,61.1%,70.5,29.8
2018,California,National university,109,37.6%,63.7,35.4
2018,California,Notre Dame de Namur University,31,35.5%,65.1,31.0
2018,California,Pacific States University,30,36.7%,65.7,35.9
2018,California,Pepperdine University,21,76.2%,79.1,30.9
2018,California,Point Loma Nazarene University,93,57.0%,71.6,24.8
2018,California,Saddleback College,16,50.0%,68.4,32.9
2018,California,Saint Mary's College of California,171,43.3%,67.3,27.6
2018,California,San Diego State University,647,53.2%,72.2,28.3
2018,California,San Francisco State University,455,44.4%,67.4,30.8
2018,California,San Jose State University,602,40.7%,68.0,29.8
2018,California,Santa Barbara City College,13,69.2%,74.7,30.5
2018,California,Santa Clara University,629,63.0%,74.9,26.3
2018,California,Santa Monica College,45,40.0%,67.6,31.0
2018,California,Simpson University,9,33.3%,71.9,28.8
2018,California,Sonoma State University,218,34.4%,65.0,27.6
2018,California,Stanford University,21,61.9%,73.2,37.7
2018,California,The Master's College and Seminary,15,60.0%,75.1,25.5
2018,California,University of California-Berkeley,523,59.5%,74.3,27.0
2018,California,University of California-Davis,372,54.8%,72.5,27.9
2018,California,University of California-Irvine,617,46.0%,69.5,27.2
2018,California,University of California-Los Angeles,1011,64.5%,75.4,28.0
2018,California,Univesrity of California-Riverside,445,39.1%,68.0,27.2
2018,California,University of California-San Diego,488,54.5%,71.8,26.9
2-18,California,University of California-Santa Barbara,941,62.8%,75.3,25.3
2018,California,University of California-Santa Cruz,292,42.8%,67.7,26.7
2018,California,University of La Verne,121,44.6%,68.3,31.5
2018,California,University of Redlands,114,51.8%,72.5,25.2
2018,California,University of San Diego,461,61.6%,74.7,25.3
2018,California,university of San Francisco,188,43.1%,67.9,27.6
2018,California,University of Southern California,1236,60.8%,75.3,26.1
2018,California,University of the Pacific,95,42.1%,68.5,27.2
2018,California,Vanguard University of Southern California,14,50.0%,73.1,25.3
2018,California,Westmont College,19,52.6%,71.6,31.6
2018,California,Woodbury University,40,22.5%,58.0,32.2
2018,Colorado,Adams State University,18,27.8%,64.7,27.9
2018,Colorado,Colorado Christian University,45,44.4%,68.7,26.6
2018,Colorado,Colorado Mesa University,77,48.1%,70.8,28.5
2018,Colorado,Colorado State University,381,55.9%,74.3,27.1
2018,Colorado,Colorado State University-Global Campus,56,48.2%,71.0,33.6
2018,Colorado,Colorado State University-Pueblo,13,30.8%,65.8,30.2
2018,Colorado,Colorado Technical University,19,21.1%,56.3,36.3
2018,Colorado,Fort Lewis College,63,36.5%,67.1,28.2
2018,Colorado,Metropolitan State University of Denver,127,49.6%,70.7,32.1
2018,Colorado,Regis University,124,45.2%,69.3,33.2
2018,Colorado,University of Colorado Boulder,377,68.4%,77.0,25.7
2018,Colorado,University of Colorado Colorado springs,90,67.8%,76.3,28.9
2018,Colorado,University of Colorado Denver Anschutz Medical Campus,168,54.2%,73.1,32.3
2018,Colorado,University of Colorado System Office,67,56.7%,73.9,28.5
2018,Colorado,University of Denver,330,67.9%,77.7,26.3
2018,Colorado,University of Northern Colorado,130,42.3%,69.0,26.2
2018,Colorado,Western State Colorado University,22,40.9%,70.5,29.5
2018,Connecticut,Albertus Magnus College,29,37.9%,69.0,29.9
2018,Connecticut,Central Connecticut State University,157,42.0%,67.6,27.9
2018,Connecticut,Connecticut College,8,62.5%,75.8,31.3
2018,Connecticut,Eastern Connecticut State University,97,48.5%,70.5,28.3
2018,Connecticut,Fairfield University,439,47.4%,71.1,23.4
2018,Connecticut,Post University,27,37.0%,63.0,34.1
2018,Connecticut,Quinnipiac University,264,46.2%,70.5,25.0
2018,Connecticut,Sacred Heart University,252,37.3%,65.4,26.3
2018,Connecticut,Southern Connecticut State University,99,42.4%,66.2,30.9
2018,Connecticut,Trinity College,20,40.0%,69.4,34.3
2018,Connecticut,University of Bridgeport,57,33.3%,64.0,30.9
2018,Connecticut,University of Connecticut,726,60.7%,75.2,25.5
2018,Connecticut,University of Hartford,92,33.7%,64.8,29.7
2018,Connecticut,University of New Haven,92,40.2%,66.3,27.0
2018,Connecticut,Western connecticut State University,73,41.1%,65.6,31.5
2018,Delaware,Delaware State University,20,35.0%,68.1,28.3
2018,Delaware,Goldey-Beacom College,21,33.3%,60.6,33.4
2018,Delaware,University of Delaware,528,54.2%,73.4,25.3
2018,Delaware,Wilmington University,54,53.7%,69.0,33.7
2018,District Of Columbia,American University,185,52.4%,71.8,27.0
2018,District of Columbia,George Washington University,243,62.6%,75.0,26.5
2018,District of Columbia,Georgetown University,113,77.0%,81.2,27.7
2018,District of Columbia,Howard University,103,34.0%,66.7,28.7
2018,District of Columbia,Strayer University,219,24.7%,60.6,40.9
2018,District of Columbia,The Catholic University of America,94,35.1%,64.7,25.7
2018,District of Columbia,University of the District of Columbia,25,20.0%,63.2,37.6
2018,Florida,Barry University,25,32.0%,65.1,31.7
2018,Florida,Bethune Cookman University,14,21.4%,58.6,31.3
2018,Florida,Devry University-Miramar Campus,18,27.8%,57.3,34.7
2018,Florida,Devry University-Orlando Campus,19,68.4%,73.7,36.6
2018,Florida,Flagler College,40,42.55,65.7,27.3
2018,Florida,Florida Agricultural and Mechanical University,75,26.7%,62.2,31.8
2018,Florida,Florida Atlantic University,584,52.2%,71.9,30.1
2018,Florida,Florida Gulf Coast University,144,63.2%,75.9,28.8
2018,Florida,Florida Institute of Technology,31,45.2%,65.7,28.7
2018,Florida,Florida International University,571,55.3%,73.2,28.7
2018,Florida,Florida Southern College,33,39.4%,69.0,32.2
2018,Florida,Florida State University,547,67.6%,76.9,27.1
2018,Florida,Hodges University,12,50.0%,77.3,28.9
2018,Florida,Jacksonville University,34,35.3%,67.7,25.3
2018,Florida,Miami Dade College,15,60.0%,76.6,30.8
2018,Florida,Nova Southeastern University,238,38.7%,68.3,34.1
2018,Florida,Palm Beach Atlantic University,15,80.0%,82.6,25.5
2018,Florida,Rollins College,21,38.1%,68.8,36.4
2018,Florida,Saint Leo University,97,34.0%,66.6,34.3
2018,Florida,Southeastern University,13,38.5%,67.9,24.5
2018,Florida,St.Thomas University,32,12.5%,62.2,34.5
2018,Florida,Stetson University,71,69.0%,76.8,29.8
2018,Florida,University of Central Florida,595,64.0%,75.4,28.0
2018,Florida,University of Florida,524,77.1%,80.4,26.0
2018,Florida,University of Miami,394,74.1%,78.9,25.4
2018,Florida,University of North Florida,170,62.4%,75.9,29.3
2018,Florida,University of South Florida,431,58.5%,75.2,28.2
2018,Florida,University of South Florida-Sarasota Manatee,33,27.3%,68.3,34.1
2018,Florida,University of South Florida-St Petersburg,113,59.3%,74.8,30.1
2018,Forida,University of Tampa,228,46.5%,71.0,26.3
2018,Florida,University of West Florida,88,58.0%,74.0,31.2
2018,Georgia,Berry College,28,53.6%,74.8,25.1
2018,Georgia,Brenau Atlanta University,30,30.0%,63.5,35.7
2018,Georgia,Clark Atlanta University,33,42.4%,68.8,32.5
2018,Georgia,Clayton State University,37,48.6%,66.3,35.2
2018,Georgia,Columbus State University,35,68.6%,73.3,29.4
2018,Georgia,Covenant College,16,93.8%,86.6,23.8
2018,Georgia,Dalton State College,19,63.2%,73.7,28.0
2018,Georgia,DeVry University-Decatur Campus,19,26.3%,58.9,39.2
2018,Georgia,Emory University,226,77.0%,80.5,25.1
2018,Georgia,Georgia College &State University,210,52.4%,72.3,25.2
2018,Georgia,Georgia Gwinnett College,32,40.6%,68.6,34.0
2018,Georgia,Georgia Institute of Technology,137,60.6%,73.5,28.1
2018,Georgia,Georgia Southern University,348,53.2%,71.9,26.5
2018,Georgia,Georgia Southwestern State University,56,37.5%,68.1,30.8
2018,Georgia,Georgia State University,631,39.5%,68.3,30.5
2018,Georgia,Kennesaw State University,577,46.4%,69.8,28.3
2018,Georgia,LaGrande College,12,91.7%,81.4,27.4
2018,Georgia,Mercer University,147,40.1%,68.9,30.6
2018,Georgia,Middle Georgia State University,30,53.3%,68.5,27.4
2018,Georgia,Morehouse College,26,26.9%,65.7,28.8
2018,Georgia,Oglethorpe University,28,39.3%,65.5,27.0
2018,Georgia,Piedmont College,5,0.0%,44.0,30.2
2018,Georgia,Savannah State University,20,25.0%,62.7,31.5
2018,Georgia,Shorter University,31,41.9%,66.8,27.9
2018,Georgia,University of Georgia,702,72.8%,79.4,24.9
2018,Georgia,University of North Georgia,131,50.4%,72.1,26.3
2018,Georgia,University of West Georgia,46,26.1%,60.7,32.4
2018,Georgia,Valdosta State University,154,48.7%,70.9,27.8
2018,Georgia,Wesleyan College,21,66.7%,73.8,25.1
2018,Guam,University of Guam,85,43.5%,67.6,29.1
2018,Hawaii,Brigham Young University Hawaii,63,61.9%,73.2,28.7
2018,Hawaii,chaminade University of Honolulu,14,35.7%,64.9,28.1
2018,Hawaii,Hawaii Pacific University,30,36.7%,63.7,38.2
2018,Hawaii,University of Hawaii-West Oahu,56,33.9%,59.9,30.3
2018,Hawaii,University of Hawaii at Hilo,19,47.4%,73.3,33.7
2018,Hawaii,University of Hawaii at Manoa,273,43.2%,69.3,27.4
2018,Hawaii,University of Hawaii Leeward Community College,18,11.1%,45.2,25.9
2018,Idaho,Boise State University,247,42.5%,69.2,31.8
2018,Idaho,Brigham Young University-Idaho,291,50.9%,71.9,27.7
2018,Idaho,Idaho State University,64,45.3%,70.2,29.7
2018,Idaho,Lewis-Clark State College,47,53.2%,72.2,32.0
2018,Idaho,Northwest Nazarene University,28,53.6%,70.3,32.8
2018,Idaho,The College of Idaho,24,41.7%,71.8,25.5
2018,Idaho,University of Idaho,157,37.6%,69.4,27.8
2018,Illinois,American InterContinental University,10,40.0%,64.3,33.3
2018,Illinois,Augustana College,115,48.7%,72.0,23.7
2018,Illinois,Aurora University,60,35.0%,66.6,31.4
2018,Illinois,Benedictine University,81,43.2%,70.7,31.5
2018,Illinois,Bradley University,188,61.7%,74.8,24.9
2018,Illinois,Chicago State University,22,36.4%,62.7,38.3
2018,Illinois,DePaul University,1260,53.3%,72.5,27.1
2018,Illinois,DeVry University-Chicago Campus,99,17.2%,51.1,35.8
2018,Illinois,DeVry University-Home Office,35,34.3%,63.9,44.8
2018,Illinois,Dominican University,57,38.6%,70.7,29.9
2018,Illinois,Eastern Illinois University,114,31.6%,66.4,28.1
2018,Illinois,Elmhurst College,71,32.4%,65.6,30.8
2018,Illinois,Governors State University,74,21.6%,62.8,36.2
2018,Illinois,Illinois College,20,30.0%,69.4,27.5
2018,Illinois,Illinois Institute of Technology,16,68.8%,75.3,29.1
2018,Illinois,Illinois State University,533,55.3%,73.2,25.3
2018,Illinois,Illinois wesleyan University,134,47.0%,69.7,23.7
2018,illinois,Judson University,10,40.0%,71.8,24.0
2018,Illinois,Lewis University,58,39.7%,60.9,27.9
2018,Illinois,Loyola University Chicago,449,54.8%,73.2,25.9
2018,illinois,McKendree university,48,41.7%,71.1,28.0
2018,Illinois,Millikin University,53,35.8%,63.6,28.1
2018,Illinois,monmouth College,15,46.7%,73.7,24.7
2018,Illinois,North Central College,98,45.9%,70.1,26.8
2018,Illinois,North Park University,37,43.2%,71.2,33.2
2018,Illinois,Northeastern Illinois university,110,41.8%,67.0,33.4
2018,Illinois,Northern Illinois University,745,54.0%,72.1,27.7
2018,Illinois,Northwestern University,40,55.0%,72.3,35.0
2018,Illinois,Olivet Nazarene University,33,36.4%,67.8,23.7
2018,Illinois,Quincy University,35,51.4%,72.4,25.7
2018,Illinois,Robert Morris University-Illinois,48,29.2%,60.7,32.5
2018,Illinois,Rockford University,20,85.0%,81.9,27.7
2018,Illinois,Roosevelt University,105,42.9%,65.1,34.2
2018,Illinois,Saint Xavier University,41,51.2%,70.6,27.1
2018,Illinois,Southern Illinois University,35,45.7%,70.4,26.1
2018,Illinois,Southern Illinois University-Carbondale,208,38.0%,67.5,26.8
2018,Illinois,Southern Illinois University-Edwardsville,188,54.8%,73.2,27.3
2018,Illinois,Trinity Christian College,29,58.6%,76.6,24.6
2018,Illinois,University of Chicago,31,71.0%,78.7,39.7
2018,Illinois,University of Illinois at Chicago,607,47.6%,70.3,28.2
2018,illinois,University of Illinois at Springfield,95,45.3%,69.6,28.1
2018,Illinois,University of Illinois at Urbana-Champaign,2026,63.5%,76.0,24.7
2018,Illinois,University of St.Francis,21,33.3%,66.6,26.8
2018,Illinois,Western Illinois University,71,53.5%,71.4,27.4
2018,Illinois,Western Illinois University Quad Cities,9,55.6%,72.0,27.2
2018,Indiana,Anderson University,34,50.0%,72.0,26.7
2018,Indiana,Ball State University,395,42.3%,69.2,25.8
2018,Indiana,Bethel College,22,40.9%,65.1,26.1
2018,Indiana,Butler University,244,53.7%,74.5,23.7
2018,Indiana,Calumet College of Saint Joseph,11,9.1%,63.2,35.5
2018,Indiana,DePaw University,12,75.0%,81.5,28.0
2018,Indiana,Franklin College of Indiana,33,51.5%,72.2,24.5
2018,Indiana,Goshen College,25,56.0%,70.8,26.3
2018,Indiana,Grace College and Seminary,67,62.7%,75.4,23.9
2018,Indiana,Indiana State University,82,34.1%,67.6,28.5
2018,Indiana,Indiana Tech,17,29.4%,66.1,36.1
2018,Indiana,Indiana University,345,65.2%,75.8,25.4
2018,Indiana,Indiana University Bloomington,1026,64.6%,76.7,24.9
2018,Indiana,Indiana University East,7,57.1%,62.0,44.3
2018,Indiana,Indiana University Northwest,30,30.0%,63.0,35.7
2018,Indiana,Indiana University South Bend,101,51.5%,71.0,29.7
2018,Indiana,Indiana University Southeast,56,39.3%,69.0,34.4
2018,Indiana,Indiana University-Purdue University Fort Wayne,112,67.9%,76.9,27.0
2018,Indiana,Indiana University-Purdue University Indianapolis,373,46.4%,70.8,29.2
2018,Indiana,Indiana Wesleyan University,172,45.3%,68.5,32.0
2018,Indiana,Manchester University,56,46.4%,71.6,24.2
2018,Indiana,Marian University,90,41.1%,67.3,25.6
2018,Indiana,Purdue University-Calumet,79,31.6%,65.0,32.9
2018,Indiana,Purdue University-Main Campus,765,55.6%,73.4,26.1
2018,Indiana,Purdue University-North Central Campus,20,35.0%,67.1,27.6
2018,Indiana,Saint Joseph's College,19,42.1%,62.5,29.3
2018,Indiana,Saint Mary's College,97,50.5%,69.9,23.7
2018,Indiana,Taylor University,62,50.0%,73.1,24.8
2018,Indiana,Trine University,43,39.5%,69.0,24.6
2018,Indiana,University of Evansville,42,59.5%,74.7,24.7
2018,Indiana,University of Indianapolis,59,30.5%,65.7,27.1
2018,Indiana,University of Notre Dame,622,72.3%,79.9,24.4
2018,Indiana,University of Saint Francis,28,35.7%,68.0,26.2
2018,Indiana,University of Southern Indiana,167,43.7%,69.4,26.7
2018,Indiana,Valparaiso University,61,47.5%,69.5,23.7
2018,Iowa,AIB College of Business,12,41.7%,68.9,33.8
2018,Iowa,Briar Cliff University,31,58.1%,72.9,26.6
2018,Iowa,Buena Vista University,52,48.1%,72.7,28.2
2018,Iowa,Central College,36,58.3%,73.7,23.6
2018,Iowa,Coe College,42,52.4%,73.0,23.7
2018,Iowa,Des Moines Area Community College,22,18.2%,59.6,22.8
2018,Iowa,Dordt College,34,44.1%,70.5,23.6
2018,Iowa,Drake University,112,65.2%,76.9,26.1
2018,Iowa,Grand View University,25,52.0%,72.9,23.5
2018,Iowa,Iowa State University,486,50.0%,71.3,24.6
2018,Iowa,Kaplan University,60,33.3%,64.5,36.2
2018,Iowa,Loras College,39,71.8%,76.3,25.0
2018,Iowa,Luther College,28,60.7%,76.1,24.6
2018,Iowa,Mormingside College,19,94.7%,83.3,23.9
2018,Iowa,Northwestern College,25,56.0%,74.9,25.8
2018,Iowa,Simpson College,43,44.2%,68.9,23.2
2018,Iowa,St.Ambrose University,51,37.3%,70.0,26.1
2018,Iowa,University of Dubuque,26,34.6%,59.8,24.3
2018,Iowa,University of Iowa,466,75.5%,79.4,25.1
2018,Iowa,University of Northern  Iowa,332,64.8%,75.8,24.7
2018,Iowa,Upper Iowa University,47,44.7%,69.2,33.4
2018,Iowa,Wartburg College,33,63.6%,73.9,23.2
2018,Kansas,Baker Univesity,21,38.1%,70.6,30.9
2018,Kansas,Benedictine College,50,34.0%,66.7,23.5
2018,Kansas,Emporia State University,75,57.3%,73.6,31.2
2018,Kansas,Fort Hays State University,84,60.7%,73.8,26.0
2018,Kansas,Friends University,17,64.7%,75.5,34.6
2018,kansas,Kansas State University,325,56.0%,74.3,26.0
2018,Kansas,Ottawa University,12,25.0%,68.3,27.3
2018,Kansas,Pittsburg State University,73,35.6%,66.2,27.3
2018,Kansas,University of Kansas-Main Campus,638,63.3%,75.6,24.9
2018,Kansas,Washburn University,90,61.1%,74.3,29.0
2018,kansas,Wichita State University,173,52.6%,73.4,28.1
2018,Kentucky,Asbury University,31,64.5%,78.2,24.4
2018,Kentucky,Bellarmine University,84,52.4%,73.2,25.7
2018,Kentucky,Berea College,41,41.5%,60.8,28.0
2018,Kentucky,Campbellsville University,18,50.0%,72.1,25.3
2018,kentucky,centre College,37,75.7%,79.9,26.5
2018,kentucky,Eastern Kentucky University,70,42.9%,67.9,29.0
2018,Kentucky,Georgetown College,16,37.5%,66.8,26.1
2018,kentucky,Morehead State University,58,39.7%,67.3,31.4
2018,Kentucky,Murray State University,139,59.7%,74.3,27.7
2018,Kentucky,Northern Kentucky University,169,47.9%,69.6,27.6
2018,Kentucky,Southeast Kentucky Community and Technical College,14,57.1%,75.2,24.6
2018,Kentucky,Sullivan University,25,36.0%,60.9,37.6
2018,Kentucky,Thomas More College,30,30.0%,67.8,29.0
2018,Kentucky,Transylvania University,67,55.2%,70.0,25.0
2018,Kentucky,University of Kentucky,609,57.5%,73.9,26.3
2018,Kentucky,University of Louisville,363,45.7%,71.4,26.7
2018,Kentucky,University of the Cumberlands,12,33.3%,68.0,30.2
2018,Kentucky,Western kentucky University,163,66.9%,76.3,26.0
2018,Louisiana,Centenary College of Louisiana,36,13.9%,57.7,27.8
2018,Louisiana,Grambling State University,35,20.0%,60.9,34.4
2018,Louisiana,Louisiana College,14,50.0%,68.9,29.1
2018,Louisiana,Louisiana State Univ-Agricultural &Mechanical College,569,63.3%,74.9,26.1
