Year,State,University,Sections,Overall Pass %,Average Score,Average Age
2018,Louisiana,Louisiana State University in Shreveport,76,51.3%,70.8,34.0
2018,Louisiana,Louisiana Tech University,123,52.8%,72.0,27.3
2018,Louisiana,Loyola University New Orleans,65,43.1%,69.6,27.4
2018,Louisiana,McNeese State University,91,36.3%,64.4,29.2
2018,Louisiana,Nicholls State University,92,50.0%,72.9,29.1
2018,Louisiana,Northwestern State University,30,50.0%,71.7,29.6
2018,Louisiana,Southeastern Louisiana University,214,39.7%,68.0,29.0
2018,Louisiana,Southern University and A&M College,9,33.3%,65.3,41.2
2018,Louisiana,Tulane University,375,68.3%,77.4,25.2
2018,Louisiana,University of Louisiana at Lafayette,276,52.9%,72.0,27.9
2018,Louisiana,University of Louisiana at Monroe,59,49.2%,70.4,30.8
2018,Louisiana,University of New Orleans,273,43.6%,67.8,29.8
2018,Louisiana,Xavier University of Louisiana,10,30.0%,58.8,27.9
2018,Maine,Husson University,80,42.5%,66.7,25.4
2018,Maine,Thomas College,23,78.3%,74.3,24.9
2018,Maine,University of Maine,53,52.8%,74.5,24.2
2018,Maine,University of southern Maine,57,57.9%,75.3,28.3
2018,Maryland,Bowie State University,14,7.1%,55.4,28.5
2018,Maryland,Johns Hopkins University,38,52.6%,74.0,33.8
2018,Maryland,Loyola University Maryland,258,48.8%,70.4,23.9
2018,Maryland,Morgan State University,20,45.0%,68.3,30.6
2018,Maryland,Mount St. Mary's University,18,72.2%,77.6,24.9
2018,Maryland,Salisbury University,50,58.0%,75.3,23.8
2018,Maryland,Stevenson University,12,41.7%,70.2,28.1
2018,Maryland,Towson University,37,37.8%,61.1,28.0
2018,Maryland,University of Baltimore,24,12.5%,61.6,36.7
2018,Maryland,University of Maryland College Park,586,56.8%,73.1,26.5
2018,Maryland,University of Maryland Eastern Shore,16,43.8%,73.8,31.6
2018,Maryland,University of Maryland University College,116,36.2%,66.2,37.0
2018,Maryland,Washington College,16,81.3%,79.8,23.2
2018,Massachusetts,American International College,23,73.9%,79.7,27.6
2018,Massachusetts,Assumption College,94,44.7%,69.7,25.6
2018,Massachusetts,Babson College,149,67.1%,75.2,24.6
2018,Massachusetts,Bentley University,868,64.9%,76.2,25.6
2018,Massachusetts,Boston College,480,79.4%,80.6,23.7
2018,Massachusetts,Boston University,385,64.7%,75.6,26.3
2018,Massachusetts,Brandeis University,24,50.0%,73.6,30.6
2018,Massachusetts,Bridgewater State University,140,47.1%,70.3,27.9
2018,Massachusetts,Clark University,72,44.4%,70.2,29.9
2018,Massachusetts,College of the Holy Cross,121,62.0%,76.1,24.0
2018,Massachusetts,Curry College,9,22.2%,59.2,34.8
2018,Massachusetts,Emmanuel College,18,61.1%,74.7,26.9
2018,Massachusetts,Endicott College,52,32.7%,66.6,25.3
2018,Massachusetts,Fitchburg State University,22,45.5%,68.0,27.3
2018,Massachusetts,Gordon College,16,62.5%,73.3,25.8
2018,Massachusetts,Harvard University,23,78.3%,81.7,38.2
2018,Massachusetts,Lasell College,28,46.4%,72.0,26.6
2018,Massachusetts,Merrimack College,81,30.9%,65.4,26.2
2018,Massachusetts,Nichols College,65,55.4%,71.7,27.1
2018,Massachusetts,Northeastern university,512,59.4%,74.9,26.9
2018,Massachusetts,Salem State University,70,50.0%,70.7,29.9
2018,Massachusetts,Stonehill College,149,55.7%,73.1,24.4
2018,Massachusetts,Suffolk University,266,42.9%,69.3,28.5
2018,Massachusetts,University of Massachusetts,675,58.4%,73.7,24.6
2018,Massachusetts,University of Massachusetts-Boston,148,35.1%,65.9,33.7
2018,Massachusetts,University of Massachusetts-Dartmouth,123,29.3%,63.8,28.5
2018,Massachusetts,University of Massachusetts-Lowell,152,52.6%,69.5,29.1
2018,Massachusetts,Western New England University,120,38.3%,67.6,27.5
2018,Massachusetts,Westfield State University,25,40.0%,69.6,27.6
2018,Massachusetts,Worcester State University,17,5.9%,54.0,32.9
2018,Michigan,Adrian College,57,52.6%,72.0,23.5
2018,Michigan,Albion College,56,41.1%,70.2,23.9
2018,Michigan,Alma College,57,35.1%,69.8,23.1
2018,Michigan,Andrews University,28,46.4%,69.8,30.2
2018,Michigan,Aquinas College,48,31.3,67.3,26.5
2018,Michigan,Baker College of Flint,38,21.1%,63.5,35.9
2018,Michigan,Baker College of Muskegon,10,20.0%,55.4,42.8
2018,Michigan,Calvin College,139,64.7%,76.7,25.2
2018,Michigan,Central Michigan University,202,50.0%,73.1,25.3
2018,Michigan,Cornerstone University,11,54.5%,73.8,23.4
2018,Michigan,Davenport University,130,45.4%,71.8,30.2
2018,Michigan,Eastern Michigan University,217,48.4%,71.6,28.8
2018,Michigan,Ferris State University,113,58.4%,74.6,26.7
2018,Michigan,Grand Valley State University,221,58.8%,75.8,25.8
2018,Michigan,Grand Valley  State University-Pew Campus,174,62.6%,76.1,24.4
2018,Michigan,Hillsdale College,48,50.0%,72.6,23.5
2018,Michigan,Hope College,125,56.0%,73.7,23.9
2018,Michigan,Lake Superior State University,20,50.0%,73.9,25.9
2018,Michigan,Madonna University,15,60.0%,73.5,33.7
2018,Michigan,Michigan State University,843,70.3%,77.7,24.9
2018,Michigan,Michigan Technological University,29,51.7%,70.0,27.0
2018,Michigan,Northern Michigan University,112,38.4%,67.7,25.8
2018,Michigan,Northwood University,160,38.8%,67.3,26.8
2018,Michigan,Oakland University,309,54.0%,74.0,26.1
2018,Michigan,Saginaw Valley State University,183,43.2%,70.3,26.0
2018,Michigan,Siena Heights University,24,37.5%,69.3,31.7
2018,Michigan,Spring Arbor University,21,47.6%,72.4,26.1
2018,Michigan,University of Detroit Mercy,31,77.4%,81.3,25.7
2018,Michigan,University of Michigan -Ann Arbor,234,70.9%,78.7,26.4
2018,Michigan,University of Michigan -Dearborn,162,51.9%,72.1,27.9
2018,Michigan,University of Michigan -Flint,54,27.8%,66.9,29.6
2018,Michigan,Walsh College Novi Campus,11,27.3%,66.8,33.0
2018,Michigan,Walsh College Accountancy and Business Administration,294,50.7%,72.4,31.9
2018,Michigan,Wayne State University,203,47.3%,70.0,28.1
2018,Michigan,Western Michigan University,278,51.1%,72.8,28.5
2018,Minnesota,Augsburg College,44,68.2%,75.7,27.5
2018,Minnesota,Bemidji State University,73,47.9%,70.2,28.6
2018,Minnesota,Bethel University,64,53.1%,73.4,23.7
2018,Minnesota,Capella University,17,35.3%,59.2,33.9
2018,Minnesota,College of Saint Benedict,87,48.3%,73.1,23.4
2018,Minnesota,Concordia College,68,76.5%,78.1,24.0
2018,Minnesota,"Concordia University,St.Paul",13,46.2%,67.6,29.8
2018,Minnesota,Gustavus Adolphus College,76,46.1%,69.1,24.5
2018,Minnesota,Hamline University,44,59.1%,73.5,25.7
2018,Minnesota,Metropolitan State University,88,42.0%,69.2,35.0
2018,Minnesota,"Minnesota State University,Moorhead",44,52.3%,72.4,28.0
2018,Minnesota,"Minnesota State University,Mankato",236,58.9%,74.6,26.4
2018,Minnesota,Saint John's University,152,49.3%,72.2,23.8
2018,Minnesota,Saint Mary's University of Minnesota,62,48.4%,69.4,31.8
2018,Minnesota,Southwest Minnesota State University,41,41.5%,71.3,25.8
2018,Minnesota,St Catherine University,39,51.3%,70.5,26.9
2018,Minnesota,St Cloud State University,208,52.9%,72.4,26.6
2018,Minnesota,The College of Saint Scholastica,39,61.5%,73.1,26.8
2018,Minnesota,University of Minnesota Duluth,203,52.2%,71.7,24.7
2018,Minnesota,University of Minnesota-Crookston,23,26.1%,59.0,27.7
2018,Minnesota,University of Minnesota-Twin Cities,446,66.4%,77.0,25.3
2018,Minnesota,University of Northwestern-St Paul,26,42.3%,66.3,24.8
2018,Minnesota,University of Saint Thomas,359,54.3%,72.4,25.0
2018,Minnesota,Walden University,43,32.6%,60.0,40.4
2018,Minnesota,Winona State University,114,46.5%,70.1,25.1
2018,Mississippi,Belhaven University,34,44.1%,71.4,29.2
2018,Mississippi,Delta State University,30,33.3%,68.4,30.5
2018,Mississippi,Jackson State University,72,23.6%,61.5,30.6
2018,Mississippi,Millsaps College,141,42.6%,68.9,25.4
2018,Mississippi,Mississippi College,110,50.0%,68.4,27.8
2018,Mississippi,Mississippi State University,454,44.1%,68.7,25.1
2018,Mississippi,Mississippi University for Women,9,55.6%,68.8,33.8
2018,Mississippi,University of Mississippi,750,63.5%,75.6,25.0
2018,Mississippi,University of Southern Mississippi,244,40.6%,67.0,30.1
2018,Mississippi,William Carey University,10,20.0%,61.1,30.8
2018,Missouri,Avila University,15,60.0%,74.8,31.9
2018,Missouri,Central  Methodist University,13,0.0%,58.4,26.8
2018,Missouri,College of the Ozarks,31,58.1%,75.5,24.5
2018,Missouri,Columbia College,82,35.4%,67.4,34.2
2018,Missouri,DeVry University-Kansas City Campus,16,37.5%,68.4,35.4
2018,Missouri,Drury University,84,47.6%,69.5,24.4
2018,Missouri,Evangel University,15,93.3%,82.3,23.5
2018,Missouri,Fontbonne University,21,57.1%,74.1,30.9
2018,Missouri,Lincoln University,24,20.8%,61.9,31.4
2018,Missouri,Lindenwood University,81,46.9%,68.3,27.7
2018,Missouri,Maryville University of Saint Louis,68,52.9%,73.2,27.0
2018,Missouri,Missouri Baptist University,34,26.5%,63.8,28.1
2018,Missouri,Missouri Southern State University,34,41.2%,68.8,33.7
2018,Missouri,Missouri State University,357,52.9%,72.4,27.0
2018,Missouri,Missouri Western State University,15,13.3%,53.7,32.7
2018,Missouri,Northwest Missouri State University,80,40.0%,70.2,27.3
2018,Missouri,Park University,55,43.6%,69.6,32.8
2018,Missouri,Rockhurst University,141,53.2%,73.8,24.6
2018,Missouri,Saint Louis University,249,63.5%,73.8,24.3
2018,Missouri,Southeast Missouri State University,115,38.3%,66.4,28.3
2018,Missouri,Southwest Baptist University,38,57.9%,76.2,24.7
2018,Missouri,Truman State University,247,64.8%,78.2,24.6
2018,Missouri,University of Central Missouri,100,53.0%,71.3,27.1
2018,Missouri,University Of Missouri-Columbia,638,73.0%,78.9,23.7
2018,Missouri,University of Missouri- Kansas City,182,58.2%,73.1,28.3
2018,Missouri,Univeristy of Missouri-Saint Louis,212,61.3%,74.4,30.9
2018,Missouri,Washington University in St Louis,141,70.2%,78.6,25.9
2018,Missouri,Webster University,68,22.1%,63.9,38.6
2018,Missouri,Westminster College,39,43.6%,67.9,25.2
2018,Missouri,William Jewell College,33,27.3%,66.1,24.8
2018,Missouri,William Woods University,12,50.0%,70.3,30.7
2018,Montana,Carroll College,45,31.1%,66.1,23.8
2018,Montana,Montana State University,164,53.0%,73.3,26.6
2018,Montana,Montana State University -Billings,46,45.7%,72.4,31.6
2018,Montana,Montana Tech of the University of Montana,25,40.0%,64.8,27.9
2018,Montana,Rocky Mountain College,26,65.4%,76.4,24.9
2018,Montana,University of Great Falls,13,61.5%,75.7,32.7
2018,Montana,University of Montana -Missoula,143,52.4%,72.3,26.8
2018,Nebraska,Bellevue University,44,38.6%,65.7,35.9
2018,Nebraska,Chadron State College,14,42.9%,64.8,31.0
2018,Nebraska,Concordia University,11,45.5%,69.7,23.9
2018,Nebraska,Creighton Univerity,148,64.9%,77.7,23.8
2018,Nebraska,Doane College,20,60.0%,74.8,25.5
2018,Nebraska,Hastings College,14,71.4%,76.3,24.7
2018,Nebraska,Midland University,20,30.0%,67.0,25.4
2018,Nebraska,Nebraska Wesleyan University,54,40.7%,68.4,23.8
2018,Nebraska,University of Nebraska-Lincoln,336,67.0%,78.0,25.5
2018,Nebraska,University of Nebraska at Kearney,98,63.3%,76.6,25.7
2018,Nebraska,University of Nebraska at Omaha,180,51.1%,74.5,27.2
2018,Nebraska,Wayne State College,20,50.0%,71.1,29.5
2018,Nebraska,York College,10,20.0%,59.6,35.0
2018,Nevada,College of Southern Nevada,16,50.0%,71.8,32.8
2018,Nevada,university of Nevada-Las Vegas,558,50.0%,71.8,29.8
2018,Nevada,University of Nevada-Reno,258,53.5%,72.7,28.5
2018,New Hampshire,New England College,31,32.3%,60.3,36.9
2018,New Hampshire,Plymouth State University,24,33.3%,63.6,26.5
2018,New Hampshire,Saint Anselm College,30,33.3%,68.8,24.5
2018,New Hampshire,Southern New Hampshire University,334,40.4%,68.0,31.1
2018,New Hampshire,University of New Hampshire,279,64.9%,75.8,24.3
2018,New Jersey,Berkeley College,29,24.1%,59.6,30.1
2018,New Jersey,Beth Medrash Govoha,44,72.7%,77.2,31.7
2018,New Jersey,Bloomfield College,17,47.1%,72.2,31.6
2018,New Jersey,Caldwell University,46,37.0%,66.4,27.3
2018,New Jersey,Centenary College,13,46.2%,65.2,30.1
2018,New Jersey,Fairleigh Dickinson University,316,45.6%,70.3,28.3
2018,New Jersey,Felician College,15,13.3%,57.7,32.7
2018,New Jersey,Georgian Court University,27,22.2%,60.7,33.0
2018,New Jersey,Kean University,225,36.0%,64.8,27.7
2018,New Jersey,Monmouth University,266,45.5%,69.7,26.5
2018,New Jersey,Montclair State University,372,40.6%,68.8,28.5
2018,v,New Jersey City University,90,38.9%,66.4,31.0
2018,New Jersey,New Jersey Institute of Technology,14,35.7%,64.8,30.5
2018,New Jersey,Ramapo College of New Jersey,254,41.3%,69.1,25.7
2018,New Jersey,Raritan Valley Community  College,14,42.9%,71.3,26.0
2018,New Jersey,Rider University,335,42.4%,68.4,26.8
2018,New Jersey,Rowan University,312,32.4%,65.0,25.8
2018,New Jersey,Rutgers State University-Camden,166,47.0%,69.3,28.8
2018,New Jersey,Rutgers State University-Central Office,29,44.8%,67.8,28.9
2018,New Jersey,Rutgers State University-New Brunswick,681,56.2%,73.0,26.4
2018,New Jersey,Rutgers State University-Newark,682,36.8%,67.6,29.2
2018,New Jersey,Saint Peter's University,42,40.5%,65.1,32.7
2018,New Jersey,Seton Hall University,298,46.6%,71.1,26.5
2018,New Jersey,Stockton University,127,37.0%,65.4,27.8
2018,New Jersey,The College of New Jersey,265,56.2%,74.5,23.6
2018,New Jersey,Thomas Edison State University,85,57.6%,75.1,28.6
2018,New Jersey,William Paterson University of New Jersey,189,30.7%,64.7,30.0
2018,New Mexico,Eastern New Mexico University-Main Campus,24,45.8%,68.3,30.4
2018,New Mexico,New Mexico State University-Main Campus,106,50.9%,73.7,29.7
2018,New Mexico,University of New Mexico-Main Campus,328,49.1%,70.8,30.0
2018,New Mexico,University of Phoenix -New Mexico Campus,6,50.0%,71.7,47.5
2018,New York,Adelphi University,180,36.1%,66.8,27.1
2018,New York,Alfred University,40,25.0%,65.6,24.1
2018,New York,Baruch College/CUNY,1867,49.7%,71.5,28.7
2018,New York,Berkeley College,42,16.7%,59.4,29.2
2018,New York,Canisius College,209,61.7%,75.8,25.6
2018,New York,CUNY Manhattan Community College,36,33.3%,68.0,32.4
2018,New York,CUNY Brooklyn College,437,35.9%,65.6,30.7
2018,New York,CUNY Herbert H.Lehman College,119,25.2%,61.5,32.5
2018,New York,CUNY Hunter College,221,37.1%,65.8,28.7
2018,New York,CUNY John Jay College of Criminal Justice,17,23.5%,52.0,30.6
2018,New York,CUNY Kingsborough Community College,30,30.0%,67.0,25.7
2018,New York,CUNY Medgar Evers College,22,13.6%,59.8,38.0
2018,New York,CUNY Queens College,701,37.7%,65.8,29.6
2018,New York,CUNY Queensborough Community College,16,37.5%,65.4,28.8
2018,New York,CUNY The City College,14,50.0%,69.6,31.9
2018,New York,CUNY York College,67,14.9%,63.7,35.3
2018,New York,Clarkson University,11,72.7%,75.1,31.0
2018,New York,Colgate University,11,63.6%,76.3,27.6
2018,New York,College of Mount Saint Vincent,16,18.8%,63.1,25.7
2018,New York,College of Staten Island CUNY,126,32.5%,64.1,30.5
2018,New York,Columbia University in the City of New York,31,61.3%,74.5,32.3
2018,New York,Concordia College,14,64.3%,74.4,27.6
2018,New York,Cornell University,111,65.8%,78.0,27.8
2018,New York,Daeman College,38,47.4%,69.1,23.8
2018,New York,Dowling College,43,37.2%,66.6,32.5
2018,New York,Dutchess Community College,8,25.0%,66.1,26.1
2018,New York,Elmira College,17,64.7%,78.8,23.2
2018,New York,Excelsior College,153,66.7%,78.1,26.9
2018,New York,Farmingdale State College,27,22.2%,63.6,29.8
2018,New York,Fordham University,576,54.5%,73.3,25.3
2018,New York,Hartwick College,41,39.0%,69.4,25.5
2018,New York,Hilbert College,20,40.0%,71.1,25.6
2018,New York,Hofstra University,527,45.2%,69.8,27.3
2018,New York,Hudson Valley Community College,16,37.5%,72.1,28.1
2018,New York,Iona College,209,29.7%,65.5,26.9
2018,New York,Ithaca College,159,56.0%,73.6,24.1
2018,New York,La Guardia Community College/CUNY,15,40.0%,74.5,30.1
2018,New York,Le Moyne College,148,50.0%,71.5,25.0
2018,New York,LIU Brooklyn,36,36.1%,68.1,34.7
2018,New York,LIU Post,125,36.8%,67.0,28.2
2018,New York,Long Island University,58,36.2%,66.7,28.4
2018,New York,Manhattan College,107,38.3%,69.4,26.1
2018,New York,Manhattanville College,14,21.4%,63.6,27.6
2018,New York,Marist College,190,46.3%,69.9,25.7
2018,New York,Medaille College,14,28.6%,62.4,23.0
2018,New York,Mercy College,106,29.2%,66.7,28.7
2018,New York,Molloy College,143,37.8%,69.1,25.1
2018,New York,Monroe College,80,13.8%,60.4,32.3
2018,New York,Monroe Community College,17,47.1%,71.5,23.9
2018,New York,Mount Saint Mary College,61,36.1%,67.3,25.2
2018,New York,Nassau Community College,24,29.2%,60.1,26.4
2018,New York,Nazareth College of Rochester,23,39.1%,65.7,23.9
2018,New York,New York City College of Technology/CUNY,9,33.3%,61.2,28.7
2018,New York,New York Institute of Technology,44,34.1%,63.5,31.3
2018,New York,New York University,336,66.7%,76.5,27.8
2018,New York,Niagara University,172,36.6%,66.9,25.9
2018,New York,Nyack College,10,10.0%,61.4,33.0
2018,New York,Pace University,662,36.3%,67.0,27.9
2018,New York,Rensselaer Polytechnic Institute,11,90.9%,79.7,27.2
2018,New York,Rochester Institute of Technology,63,61.9%,76.0,28.0
2018,New York,"Saint Joseph's College,New York",17,23.5%,68.1,28.8
2018,New York,"Saint Joseph's College,New York-Suffolk",128,42.2%,69.6,27.0
2018,New York,Siena College,322,44.1%,71.2,24.4
2018,New York,Skidmore College,19,52.6%,75.8,24.6
2018,New York,St.Bonaventure University,125,38.4%,66.7,24.9
2018,New York,St Francis College,122,40.2%,68.0,27.0
2018,New York,St.John Fisher College,196,49.0%,70.9,24.9
2018,New York,St John's University,455,36.3%,65.6,26.1
2018,New York,St.Thomas Aquinas College,34,23.5%,61.1,28.4
2018,New York,SUNY Binghamton,1018,57.7%,73.9,24.7
2018,New York,SUNY Fredonia,65,52.3%,70.7,24.5
2018,New York,SUNY New Paltz,111,43.2%,68.3,28.6
2018,New York,SUNY Oneonta,159,49.7%,71.1,24.5
2018,New York,SUNY College at Buffalo,26,84.6%,77.8,29.8
2018,New York,SUNY College at Cortland,14,50.0%,71.9,32.1
2018,New York,SUNY College at Geneseo,299,52.2%,72.1,23.7
2018,New York,SUNY College at Old Westbury,234,39.3%,67.8,30.5
2018,New York,SUNY College at Oswego,223,41.7%,69.7,26.0
2018,New York,SUNY College at Plattsburgh,117,41.0%,66.9,25.0
2018,New York,SUNY Empire State College,22,36.4%,69.3,38.1
2018,New York,SUNY  The College at Brockport,138,42.8%,68.5,28.4
2018,New York,Stony Brook University,237,44.3%,69.6,27.2
2018,New York,Suffolk Co. Community College Ammerman,15,66.7%,75.6,29.1
2018,New York,Suffolk Co.Community College Grant,14,35.7%,65.1,24.7
2018,New York,SUNY Polytechnic Institute,56,39.3%,69.4,35.0
2018,New York,Syracuse University -Main Campus,439,46.0%,70.5,26.2
2018,New York,The College of Saint Rose,64,23.4%,64.4,28.5
2018,New York,Touro College,155,60.0%,74.7,25.9
2018,New York,Touro College Flatbush,66,65.2%,75.7,25.2
2018,New York,Union College,9,55.6%,70.3,24.6
2018,New York,"University at Albany,SUNY",667,48.9%,71.4,25.7
2018,New York,"University of Buffalo,SUNY",560,64.5%,75.5,25.3
2018,New York,University of Rochester,87,52.9%,72.7,30.7
2018,New York,Utica College,26,38.5%,64.5,31.5
2018,New York,Wagner College,50,40.0%,69.8,26.9
2018,New York,Westchester  Community College,18,22.2%,63.4,26.4
2018,New York,Yeshiva University,298,52.3%,72.5,24.8
2018,North Carolina,Appalachian State University,384,54.4%,72.9,25.5
2018,North Carolina,Barton College,9,66.7%,75.4,26.3
2018,North Carolina,Belmont Abbey College,28,46.4%,66.4,29.4
2018,North Carolina,Campbell University,80,42.5%,71.0,30.2
2018,North Carolina,Catawba College,49,59.2%,74.4,25.9
2018,North Carolina,Davidson College,34,94.1%,83.5,23.3
2018,North Carolina,Duke University,25,68.0%,81.5,29.0
2018,North Carolina,East Carolina University,371,49.1%,71.1,26.5
2018,North Carolina,Elon University,280,57.5%,74.5,23.7
2018,North Carolina,Fayetteville State University,27,25.9%,60.0,32.3
2018,North Carolina,Gardner-Webb University,43,51.2%,72.6,34.3
2018,North Carolina,Greensboro College,14,35.7%,62.2,29.4
2018,North Carolina,Guilford College,43,39.5%,66.0,37.7
2018,North Carolina,High Point University,100,43.0%,70.4,25.5
2018,North Carolina,Lenoir-Rhyme University,24,20.8%,64.5,27.6
2018,North Carolina,Meredith College,12,33.3%,69.3,26.3
2018,North Carolina,Methodist University,23,34.8%,65.7,27.9
2018,North Carolina,North Carolina Agricultural & Technical State University,71,21.1%,63.2,27.0
2018,North Carolina,North Carolina Central University,14,42.9%,64.3,37.0
2018,North Carolina,North Carolina State University,616,59.9%,75.1,26.0
2018,North Carolina,North Carolina Wesleyan College,18,16.7%,55.8,40.9
2018,North Carolina,Pfeiffer University,19,21.1%,62.3,28.9
2018,North Carolina,University of Mount Olive,14,50.0%,70.3,34.2
2018,North Carolina,University of North Carolina at Asheville,26,80.8%,79.5,29.5
2018,North Carolina,University of North Carolina at Chapel Hill,495,74.3%,78.7,26.6
2018,North Carolina,Universiry of North Carolina at Charlotte,267,63.3%,76.5,26.8
2018,North Carolina,University of North Carolina at Greensboro,139,50.4%,73.6,29.5
2018,North Carolina,University of North Carolina at Pembroke,47,42.6%,70.8,33.1
2018,North Carolina,University of North Carolina Wilmington,335,54.0%,72.5,26.1
2018,North Carolina,Wake Forest University,247,78.9%,81.0,24.1
2018,North Carolina,Western Carolina University,58,"39.,7%",66.6,27.7
2018,North Carolina,Wingate University,26,53.8%,74.5,26.1
2018,North Carolina,Winston -Salem State University,8,62.5%,72.3,29.3
2018,North Dakota,Dickinson State University,39,30.8%,63.4,27.9
2018,North Dakota,Minot State University,42,52.4%,73.0,28.0
2018,North Dakota,North Dakota State University-Main Campus,113,58.4%,73.7,25.4
2018,North Dakota,University of Jamestown,16,56.3%,74.4,25.2
2018,North Dakota,University of Mary,50,50.0%,72.5,27.6
2018,North Dakota,University of North Dakota,269,59.5%,75.5,25.0
2018,Ohio,Ashland University,45,33.3%,67.1,29.4
2018,Ohio,Baldwin Wallace University,144,36.8%,67.7,29.8
2018,Ohio,Bowling Green State University,220,52.7%,72.5,25.9
2018,Ohio,Capital University,81,51.9%,70.0,24.3
2018,Ohio,Case Western Reserve University,183,63.9%,74.8,24.4
2018,Ohio,Cedarville University,54,61.1%,76.6,24.3
2018,Ohio,Cleveland State University,257,53.3%,73.2,31.7
2018,Ohio,DeVry University-Colombus Campus,18,38.9%,65.4,39.5
2018,Ohio,Franciscan University of Steubenville,30,43.3%,68.8,25.1
2018,Ohio,Franklin University,178,38.2%,67.4,35.3
2018,Ohio,Heidelberg University,12,75.0%,77.4,24.1
2018,Ohio,Hiram College,22,63.6%,74.4,28.1
2018,Ohio,John Carroll University,214,62.1%,76.7,24.5
2018,Ohio,Kent State University-Main Campus,281,42.7%,68.9,26.7
2018,Ohio,Lake Erie College,22,27.3%,63.4,26.5
2018,Ohio,Malone University,21,47.6%,72.0,28.0
2018,Ohio,Marietta College,28,32.1%,67.5,25.5
2018,Ohio,Miami University,729,60.9%,75.2,24.5
2018,Ohio,Mount Vermon Nazarene University,14,50.0%,66.4,30.5
2018,Ohio,Muskingum University,32,43.8%,71.8,27.6
2018,Ohio,Notre Dame College,29,48.3%,73.1,24.9
