Year,State,University,Sections,Overall Pass %,Average Score,Average Age
2018,Ohio,Ohio Dominican University,37,29.7%,67.4,29.9
2018,Ohio,Ohio Northern University,74,33.8%,66.5,25.1
2018,Ohio,Ohio University Main Campus,323,52.0%,71.4,25.7
2018,Ohio,Ohio Wesleyan University,28,57.1%,71.5,26.1
2018,Ohio,Otterbein University,46,58.7%,73.8,27.4
2018,Ohio,The Ohio State University-Main Campus,1027,60.5%,74.9,24.8
2018,Ohio,The University of Akron -Main Campus,293,47.4%,70.6,28.1
2018,Ohio,The University of Findlay,30,36.7%,67.8,29.1
2018,Ohio,Tiffin University,10,50.0%,74.7,24.9
2018,Ohio,University of Cincinnati-Main Campus,530,45.3%,70.4,26.5
2018,Ohio,University of Dayton,294,54.4%,74.1,24.2
2018,Ohio,University of Mount Union,42,35.7%,72.3,26.0
2018,Ohio,University of Northwestern Ohio,29,34.5%,65.1,28.0
2018,Ohio,University  of Toledo,188,50.0%,71.6,26.2
2018,Ohio,Walsh University,76,48.7%,69.8,28.1
2018,Ohio,Wittenberg University,20,20.0%,65.0,25.5
2018,Ohio,Wright State University-Main Campus,112,45.5%,72.6,26.9
2018,Ohio,Xavier University,180,56.7%,73.9,25.6
2018,Ohio,Youngstown State University,170,50.0%,71.3,28.0
2018,Oklahoma,Cameron University,31,41.9%,71.9,34.5
2018,Oklahoma,East Central University,56,46.4%,70.3,28.9
2018,Oklahoma,Langston University,16,31.3%,61.0,41.8
2018,Oklahoma,Mid-America Christian University,14,28.6%,68.1,35.7
2018,Oklahoma,Northeastern State University,114,38.6%,67.2,33.3
2018,Oklahoma,Northwestern Oklahoma State University,20,45.0%,70.6,35.1
2018,Oklahoma,Oklahoma Baptist University,26,50.0%,72.3,26.7
2018,Oklahoma,Oklahoma Christian University,99,45.5%,70.1,27.5
2018,Oklahoma,Oklahoma City University,68,45.6%,70.4,29.1
2018,Oklahoma,Oklahoma Panhandle State University,18,11.1%,55.4,31.8
2018,Oklahoma,Oklahoma State University,596,52.2%,73.6,27.7
2018,Oklahoma,Oral Roberts University,84,59.5%,73.4,28.7
2018,Oklahoma,Rogers State University,21,38.1%,65.7,30.8
2018,Oklahoma,Southeastern Oklahoma State University,30,36.7%,69.9,35.5
2018,Oklahoma,Southern Nazarene University,30,40.0%,65.6,27.9
2018,Oklahoma,Southwestern Oklahoma State University,55,49.1%,68.3,31.7
2018,Oklahoma,University of Central Oklahoma,323,37.2%,66.0,32.7
2018,Oklahoma,University of Oklahoma-Norman Campus,464,59.1%,74.7,27.4
2018,Oklahoma,University of Tulsa,127,61.4%,75.9,26.8
2018,Oregon,Concordia University,10,40.0%,71.3,29.0
2018,Oregon,Corban University,35,48.6%,72.8,25.3
2018,Oregon,Eastern Oregon University,31,41.9%,68.8,32.3
2018,Oregon,George Fox University,65,55.4%,73.5,24.4
2018,Oregon,Linfield College,75,60.0%,73.9,29.6
2018,Oregon,Northwest Christian University,24,37.5%,64.2,29.0
2018,Oregon,Oregon State University,232,65.1%,77.0,27.0
2018,Oregon,Pacific University,23,34.8%,63.7,31.5
2018,Oregon,Portland State University,376,52.7%,71.7,31.2
2018,Oregon,Southern Oregon University,89,49.4%,71.0,31.1
2018,Oregon,University of Oregon,443,67.7%,76.3,26.8
2018,Oregon,University of Portland,97,52.6%,72.9,23.9
2018,Oregon,Warner Pacific College,7,14.3%,68.1,25.4
2018,Pennsylvania,Albright College,85,45.9%,65.8,28.6
2018,Pennsylvania,Alvernia University,11,18.2%,59.5,30.2
2018,Pennsylvania,Arcadia University,27,51.9%,67.9,24.0
2018,Pennsylvania,Bloomsburg University of Pennsylvania,153,53.6%,71.9,25.9
2018,Pennsylvania,Bucknell University,150,62.0%,75.0,23.6
2018,Pennsylvania,Cabrini College,18,16.7%,54.8,25.5
2018,Pennsylvania,California University of Pennsylvania,44,36.4%,63.4,28.2
2018,Pennsylvania,Carlow University,15,26.7%,62.2,29.2
2018,Pennsylvania,Carnegie Mellon University,20,65.0%,68.4,29.9
2018,Pennsylvania,Chatham University,10,70.0%,76.9,31.4
2018,Pennsylvania,Chestnut Hill College,14,28.6%,60.5,26.6
2018,Pennsylvania,Clarion University of Pennsylvania,31,61.3%,76.7,26.9
2018,Pennsylvania,Delaware Valley University,34,47.1%,70.4,26.3
2018,Pennsylvania,DeSales University,66,47.0%,71.7,26.2
2018,Pennsylvania,Drexel University,290,46.9%,70.0,27.1
2018,Pennsylvania,Duquesne University,260,53.5%,72.8,25.1
2018,Pennsylvania,East Stroudsburg University of Pennsylvania,20,45.0%,61.7,32.8
2018,Pennsylvania,Eastern University,27,25.9%,61.4,26.5
2018,Pennsylvania,Edinboro University,28,46.4%,70.3,27.2
2018,Pennsylvania,Elizabethtown College,46,47.8%,72.0,23.9
2018,Pennsylvania,Franklin & Marshall College,19,63.2%,77.9,25.2
2018,Pennsylvania,Gannon University,32,40.6%,68.3,25.5
2018,Pennsylvania,Geneva College,37,48.6%,69.7,24.0
2018,Pennsylvania,Grove City College,100,71.0%,79.2,23.4
2018,Pennsylvania,Gwynedd Mercy University,28,35.7%,66.2,30.3
2018,Pennsylvania,Holy Family University,22,27.3%,63.2,25.3
2018,Pennsylvania,Immaculata University,15,40.0%,62.9,27.7
2018,Pennsylvania,Indiana University of Pennsylvania,181,53.0%,71.6,26.8
2018,Pennsylvania,Juniata College,35,48.6%,71.5,24.5
2018,Pennsylvania,Keystone College,9,55.6%,65.4,29.7
2018,Pennsylvania,King's College,73,27.4%,65.3,26.1
2018,Pennsylvania,Kutztown University of Pennsylvania,87,44.8%,67.6,27.9
2018,Pennsylvania,La Roche College,36,41.7%,67.6,28.9
2018,Pennsylvania,La Salle University,234,32.5%,65.8,25.7
2018,Pennsylvania,Lafayette  College,19,36.8%,70.9,27.1
2018,Pennsylvania,Lebanon Valley College,52,51.9%,72.3,28.9
2018,Pennsylvania,Lehigh University,327,71.6%,77.8,24.1
2018,Pennsylvania,Lincoln University,11,27.3%,64.4,26.9
2018,Pennsylvania,Lock Haven University,21,38.1%,69.4,25.7
2018,Pennsylvania,Lycoming College,28,53.6%,73.7,23.3
2018,Pennsylvania,Marywood University,10,20.0%,64.5,25.5
2018,Pennsylvania,Mercyhurst University,49,49.0%,71.7,25.5
2018,Pennsylvania,Messiah College,79,60.8%,74.0,23.9
2018,Pennsylvania,Millersville University of Pennsylvania,58,44.8%,69.6,27.6
2018,Pennsylvania,Misericordia University,22,27.3%,64.1,27.8
2018,Pennsylvania,Moravian College,27,51.9%,68.1,25.8
2018,Pennsylvania,Muhlenberg College,150,49.3%,71.4,24.3
2018,Pennsylvania,Neumann University,21,38.1%,67.8,28.2
2018,Pennsylvania,Penn State Abington,41,26.8%,62.8,30.1
2018,Pennsylvania,Penn State berks,19,21.1%,59.4,23.5
2018,Pennsylvania,Penn State Brandywine,10,20.0%,61.4,27.2
2018,Pennsylvania,"Penn State Erie,The Behrend College",72,44.4%,70.5,25.1
2018,Pennsylvania,Penn State Harrisburg,65,35.4%,65.8,29.6
2018,Pennsylvania,Penn State University Park,1403,61.6%,74.9,24.7
2018,Pennsylvania,Philadelphia University,47,29.8%,64.4,30.4
2018,Pennsylvania,Point Park University,15,40.0%,67.0,26.6
2018,Pennsylvania,Robert Morris University,196,45.4%,69.0,25.9
2018,Pennsylvania,Saint Francis University,47,53.2%,74.7,25.9
2018,Pennsylvania,Saint Joseph's University,369,42.5%,69.7,24.8
2018,Pennsylvania,Saint Vincent College,55,60.0%,75.7,24.6
2018,Pennsylvania,Seton Hill University,10,30.0%,61.7,23.8
2018,Pennsylvania,Shipensburg University of Pennsylvania,83,42.2%,69.1,26.8
2018,Pennsylvania,Slippery Rock University of Pennsylvania,60,51.7%,70.6,25.9
2018,Pennsylvania,Susquehanna University,95,33.7%,66.6,25.1
2018,Pennsylvania,Temple University,634,48.1%,70.8,26.8
2018,Pennsylvania,The University of Scranton,169,42.6%,69.9,25.0
2018,Pennsylvania,Thiel College,48,43.8%,69.2,23.9
2018,Pennsylvania,University of Pennsylvania,55,80.0%,79.2,34.1
2018,Pennsylvania,University of Pittsburg,556,61.0%,75.1,25.5
2018,Pennsylvania,University of Pittsburgh at Greensburg,23,21.7%,70.0,24.4
2018,Pennsylvania,University of Pittsburgh at Johnstown,28,64.3%,72.6,24.9
2018,Pennsylvania,Villanova University,491,61.7%,76.1,25.0
2018,Pennsylvania,Washington & Jefferson College,63,46.0%,70.7,24.2
2018,Pennsylvania,Waynesburg University,28,57.1%,69.0,27.1
2018,Pennsylvania,West Chester University of Pennsylvania,443,55.3%,73.1,26.3
2018,Pennsylvania,Westminster College,40,42.5%,65.8,23.4
2018,Pennsylvania,Widener University,94,37.2%,64.2,26.4
2018,Pennsylvania,Wilkes University,62,41.9%,67.8,26.2
2018,Pennsylvania,York College of Pennsylvania,54,33.3%,69.4,26.2
2018,Puerto Rico,Inter American University of Puerto Rico-Metropolitan,71,32.4%,62.0,32.9
2018,Puerto Rico,Inter American University of Puerto Rico-Arecibo,19,26.3%,64.5,29.3
2018,Puerto Rico,Inter American University of Puerto Rico-Barranquitas,11,0.0%,55.4,31.8
2018,Puerto Rico,Inter American University of Puerto Rico-Bayamon,14,7.1%,41.6,31.4
2018,Puerto Rico,Inter American University of Puerto Rico-Central Office,39,28.2%,68.2,32.5
2018,Puerto Rico,Inter American University of Puerto Rico-San German,28,7.1%,58.0,31.4
2018,Puerto Rico,The Pontifical Catholic University of Puerto Rico,65,23.1%,60.7,29.8
2018,Puerto Rico,Universidad Del Turabo,13,46.2%,66.0,32.8
2018,Puerto Rico,Universidad Metropolitana,46,39.1%,63.5,33.0
2018,Puerto Rico,University of Puerto Rico at Arecibo,35,11.4%,54.8,28.5
2018,Puerto Rico,University of Puerto Rico at Bayamon,165,39.4%,65.2,26.8
2018,Puerto Rico,University of Puerto Rico at Cayey,65,33.8%,64.2,27.4
2018,Puerto Rico,University of Puerto Rico at Ponce,42,33.3%,66.3,27.7
2018,Puerto Rico,University of Puerto Rico-Aguadilla,25,32.0%,67.6,28.2
2018,Puerto Rico,University of Puerto Rico-Central Administration,7,28.6%,57.9,26.4
2018,Puerto Rico,University of Puerto Rico-Humacao,83,26.5%,60.8,29.1
2018,Puerto Rico,University of Puerto Rico-Mayaguez Campus,143,48.3%,69.6,26.0
2018,Puerto Rico,University of Puerto Rico-Rio Piedras Campus,394,47.7%,70.1,27.0
2018,Puerto Rico,University of The Sacred Heart,23,26.1%,63.0,288
2018,Rhode Island,Brown University,12,91.7%,85.8%,30.8
2018,Rhode Island,Bryant University,439,59.2%,74.0,24.9
2018,Rhode Island,Johnson & Wales University,91,45.1%,68.3,28.4
2018,Rhode Island,Providence College,347,55.3%,74.0,23.9
2018,Rhode Island,Rhode Island College,30,16.7%,56.7,33.0
2018,Rhode Island,Roger Williams University,94,35.1%,64.3,24.5
2018,Rhode Island,Salve Regina University,49,44.9%,72.4,24.8
2018,Rhode Island,University of Rhode Island,295,40.7%,69.0,25.3
2018,South Carolina,Anderson University,17,41.2%,68.9,24.2
2018,South Carolina,Bob Jones University,127,62.2%,75.0,24.8
2018,South Carolina,Charleston Southern University,24,41.7%,72.3,31.9
2018,South Carolina,Clemson University,457,60.8%,75.7,24.1
2018,South Carolina,Coastal Carolina University,103,56.3%,73.1,29.7
2018,South Carolina,College of Charleston,194,63.4%,75.9,25.3
2018,South Carolina,Francis Marion University,28,46.4%,70.1,27.3
2018,South Carolina,Furman University,62,77.4%,80.9,24.9
2018,South Carolina,Lander University,15,53.3%,73.5,24.9
2018,South Carolina,North Greenville University,35,77.1%,76.9,25.4
2018,South Carolina,Presbyterian College,54,48.1%,72.6,24.1
2018,South Carolina,South Carolina State University,15,0.0%,60.0,31.3
2018,South Carolina,"The Citadel,The Military College of South Carolina",70,48.6%,68.1,28.4
2018,South Carolina,University of South Carolina Aiken,15,46.7%,69.9,27.3
2018,South Carolina,University of South Carolina Beaufort,14,50.0%,72.1,29.1
2018,South Carolina,University of South Carolina Columbia,603,63.3%,75.5,24.7
2018,South Carolina,University of  South Carolina Upstate,41,58.5%,74.8,28.6
2018,South Carolina,Winthrop University,83,48.2%,70.5,27.4
2018,South Carolina,Wofford College,87,54.0%,73.5,25.0
2018,South Dakota,Augustana University,39,59.0%,77.2,24.8
2018,South Dakota,Black Hills State University,36,41.7%,66.8,26.4
2018,South Dakota,Colorado Technical University,8,0.0%,56.8,39.3
2018,South Dakota,Dakota State University,21,38.1%,71.1,31.5
2018,South Dakota,Dakota Wesleyan University,14,64.3%,76.9,30.1
2018,South Dakota,National American University,7,28.6%,68.4,38.4
2018,South Dakota,Northern State University,27,59.3%,70.4,26.5
2018,South Dakota,South Dakota State University,18,83.3%,80.4,27.7
2018,South Dakota,The University of South Dakota,157,56.7%,72.9,25.7
2018,South Dakota,University of Sioux Falls,30,40.0%,62.1,30.0
2018,Tennessee,Austin Peay State University,66,42.4%,69.7,30.8
2018,Tennessee,Belmont University,174,58.0%,74.4,27.4
2018,Tennessee,Carson - Newman University,39,46.2%,69.9,28.3
2018,Tennessee,Christian Brothers University,42,57.1%,68.9,28.6
2018,Tennessee,Cumberland University,16,43.8%,69.6,26.3
2018,Tennessee,East Tennessee State University,155,49.0%,68.8,27.5
2018,Tennessee,Freed-Hardeman University,43,65.1%,75.0,25.4
2018,Tennessee,King University,23,60.9%,74.6,33.3%
2018,Tennessee,Lee University,57,63.2%,74.8,23.6
2018,Tennessee,Lincoln Memorial University,13,15.4%,57.0,30.6
2018,Tennessee,Lipscomb University,115,53.9%,73.2,26.4
2018,Tennessee,Martin Methodist College,37,29.7%,68.8,30.2
2018,Tennessee,Middle Tennessee State University,333,52.3%,72.5,29.3
2018,Tennessee,Rhodes College,141,56.7%,74.0,25.1
2018,Tennessee,Southern Adventist University,58,37.9%,66.7,27.9
2018,Tennessee,Tennessee State University,39,35.9%,64.9,33.1
2018,Tennessee,Tennessee Technological University,169,43.2%,68.7,26.6
2018,Tennessee,Tennessee Wesleyan College,19,36.8%,67.8,27.6
2018,Tennessee,The University of Memphis,196,37.8%,66.3,28.4
2018,Tennessee,Trevecca Nazarene University,40,65.0%,73.8,26.8
2018,Tennessee,Union University,64,40.6%,70.4,26.2
2018,Tennessee,University of Tennessee at Chattanooga,192,56.8%,73.7,27.1
2018,Tennessee,University of Tennessee at Chattanooga,192,56.8%,73.7,27.1
2018,Tennessee,University of Tennessee at Martin,91,37.4%,69.5,28.1
2018,Tennessee,University of Tennessee at Knoxville,574,70.4%,77.3,25.1
2018,Tennessee,Vanderbilt University,108,80.6%,80.4,24.8
2018,Texas,Abilene Christian University,188,63.8%,76.4,25.7
2018,Texas,Angelo State University,63,58.7%,73.5,29.5
2018,Texas,Austin College,27,51.9%,74.2,25.2
2018,Texas,Austin Community College District,187,54.0%,74.7,36.8
2018,Texas,Baylor University,647,66.8%,77.3,25.7
2018,Texas,Dallas Baptist University,72,40.3%,67.6,30.6
2018,Texas,DeVry University-Irving Campus,44,31.8%,68.3,37.4
2018,Texas,East Texas Baptist University,10,40.0%,69.2,31.9
2018,Texas,Hardin-Simmons University,37,37.8%,71.2,29.2
2018,Texas,Houston Baptist University,72,43.1%,69.0,26.7
2018,Texas,Houston Community College,122,44.3%,68.9,34.7
2018,Texas,Lamar University,102,42.2%,68.3,29.1
2018,Texas,Lone Star College System,131,36.6%,67.6,36.5
2018,Texas,Lubbock Christian University,31,32.3%,67.5,25.7
2018,Texas,Midwestern State University,104,52.9%,72.3,31.8
2018,Texas,Mountain View College,114,36.0%,66.8,39.5
2018,Texas,Our Lady of the Lake University,35,37.1%,65.2,30.1
2018,Texas,Prairie View A&M University,76,27.6%,61.0,31.8
2018,Texas,Rice University,94,87.2%,84.4,27.8
2018,Texas,Sam Houston State University,224,46.4%,69.7,28.5
2018,Texas,Schreiner University,17,29.4%,65.6,25.7
2018,Texas,Southern Methodist University,504,63.3%,75.7,25.0
2018,Texas,Southwestern University,15,60.0%,77.2,27.1
2018,Texas,St.Edward's University,91,34.1%,66.1,29.8
2018,Texas,St.Mary's University,53,43.4%,68.3,27.5
2018,Texas,Stephen F.Austin State University,280,41.1%,69.9,28.1
2018,Texas,Tarleton State University,126,34.9%,68.8,30.6
2018,Texas,Texas A&M International University,45,33.3%,66.5,33.2
2018,Texas,Texas A&M University,1615,72.8%,79.0,24.4
2018,Texas,Texas A&M University -Commerce,196,53.1%,72.1,34.2
2018,Texas,Texas A&M University -Corpus Christi,119,40.3%,68.3,35.2
2018,Texas,Texas A&M University-Kingsville,33,21.2%,65.4,35.9
2018,Texas,Texas A&M University -Texarkana,10,20.0%,64.2,30.8
2018,Texas,Texas A&M University -San Antonio,8,75.0%,77.9,32.4
2018,Texas,Texas Christian University,320,72.5%,78.7,25.4
2018,Texas,Texas Lutheran University,149,44.3%,69.1,24.4
2018,Texas,Texas Southern University,49,14.3%,53.9,35.3
2018,Texas,Texas State University,528,51.3%,73.4,28.9
2018,Texas,Texas Tech University,827,58.8%,75.0,26.2
2018,Texas,Texas Wesleyan University,22,40.9%,66.9,30.6
2018,Texas,Texas Woman's University,116,21.6%,63.3,30.8
2018,Texas,The University of Texas at Arlington,456,54.6%,73.7,30.4
2018,Texas,The University of Texas at Dallas,978,49.8%,71.1,29.4
2018,Texas,Trinity University,80,81.3%,79.2,24.1
2018,Texas,University of Dallas,96,39.6%,67.7,36.0
2018,Texas,University of Houston,1178,49.6%,71.6,29.1
2018,Texas,University of Houston -Clear Lake,281,38.1%,66.5,34.6
2018,Texas,University of Houston-Downtown,84,34.5%,66.7,30.8
2018,Texas,University of Houston -Victoria,74,45.9%,71.2,34.9
2018,Texas,University of Mary Hardin-Baylor,52,57.7%,74.1,28.2
2018,Texas,University of North Texas,294,53.1%,73.5,31.8
2018,Texas,University of St.Thomas,112,35.7%,64.1,33.3
2018,Texas,University of Texas at Austin,1311,75.0%,80.2,25.7
2018,Texas,University of Texas at El Paso,167,40.1%,70.0,32.3
2018,Texas,University of Texas at San Antonio,432,48.8%,71.3,29.4
2918,Texas,University of Texas at Tyler,103,51.5%,72.7,30.9
2018,Texas,University of Texas of the Permian Basin,95,38.9%,68.3,29.5
2018,Texas,University of Texas Rio Grande Valley,162,35.2%,65.9,29.0
2018,Texas,University of the Incarnate Word,160,31.3%,63.8,30.0
2018,Texas,Wayland Baptist University,12,25.0%,62.5,37.9
2018,Texas,West Texas A&M University,134,53.0%,71.0,28.7
2018,Utah,Brigham Young University,717,84.8%,83.0,27.1
2018,Utah,Dixie State University,61,63.9%,75.4,26.4
2018,Utah,Salt Lake Community College,21,57.1%,74.8,31.9
2018,Utah,Southern Utah University,174,58.6%,74.4,28.0
2018,Utah,The University of Utah,549,61.0%,75.3,28.8
2018,Utah,Utah State University,227,70.5%,77.0,27.9
2018,Utah,Utah Valley University,117,56.4%,74.4,29.6
2018,Utah,Weber State University,187,61.5%,73.8,31.7
2018,Utah,Western Governors University,251,50.6%,72.1,35.7
2018,Utah,Westminster College,55,45.5%,69.5,30.3
2018,Vermont,Castleton State College,50,44.0%,68.0,25.9
2018,Vermont,Champlain College,37,48.6%,70.2,31.2
2018,Vermont,Norwich University,18,38.9%,68.3,28.4
2018,Vermont,Saint Michael's College,58,56.9%,70.7,24.7
2018,Vermont,University of Vermont,119,69.7%,77.3,25.6
2018,Virginia,Averett University,9,33.3%,67.6,34.4
2018,Virginia,Bridgewater College,15,26.7%,64.4,30.9
2018,Virginia,Christopher Newport University,131,58.0%,74.0,24.6
2018,Virginia,College of William &Mary,381,63.0%,76.5,25.6
2018,Virginia,George Mason University,684,46.3%,70.0,30.6
2018,Virginia,Hampden -Sydney College,29,37.9%,68.3,28.8
2018,Virginia,Hampton University,38,44.7%,66.8,31.7
2018,Virginia,James Madison University,649,74.0%,79.0,24.7
2018,Virginia,Liberty University,393,50.1%,71.2,29.8
2018,Virginia,Longwood University,86,34.9%,65.8,25.3
2018,Virginia,Lynchburg College,55,32.7%,64.8,25.2
2018,Virginia,Marymount University,24,33.3%,69.3,31.3
2018,Virginia,Norfolk State University,23,30.4%,62.7,38.4
2018,Virginia,Northern Virginia Community College,23,39.1%,69.6,40.3
2018,Virginia,Old Dominion University,202,53.5%,73.5,30.4
2018,Virginia,Radford University,98,49.0%,70.1,26.7
2018,Virginia,Randolph -Macon College,20,25.0%,69.0,26.4
2018,Virginia,Roanoke College,39,35.9%,69.1,26.8
2018,Virginia,The University of Virginia's College at Wise,36,38.9%,70.3,29.0
2018,Virginia,University of Mary Washington,70,50.0%,69.3,29.4
2018,Virginia,University of Richmond,318,67.3%,77.0,23.7
2018,Virginia,University of Virginia,228,80.7%,82.4,26.1
2018,Virginia,Virginia Commonwealth University,334,45.5%,70.0,30.1
2018,Virginia,Virginia Polytechnic Institute and State University,787,61.1%,74.8,25.2
2018,Virginia,Virginia State University,20,5.0%,53.9,26.8
2018,Virginia,Virginia Wesleyan College,17,41.2%,69.1,25.4
2018,Virginia,Washington and Lee University,88,80.7%,80.7,25.0
2018,Washington,Bellevue College,24,45.8%,70.3,25.8
2018,Washington,Central Washington University,242,35.1%,66.5,30.4
2018,Washington,City University of Seattle,18,22.2%,55.1,45.3
2018,Washington,Eastern Washington University,203,49.3%,70.4,27.5
2018,Washington,Gonzaga University,329,76.3%,79.2,24.3
2018,Washington,Pacific Lutheran University,47,42.6%,68.2,25.1
2018,Washington,Saint Martin's University,14,57.1%,68.6,30.5
2018,Washington,Seattle Pacific University,75,56.0%,74.6,24.9
2018,Washington,Seattle University,169,53.8%,71.2,26.3
2018,Washington,Spokane Falls Community College,13,84.6%,80.8,23.2
2018,Washington,University of Puget Sound,10,40.0%,65.8,32.8
2018,Washington,University of Washington,978,65.1%,76.2,27.2
2018,Washington,Walla Walla University,27,55.6%,72.4,25.5
2018,Washington,Washington State University,365,61.6%,73.6,27.2
2018,Washington,Western Washington University,203,60.6%,74.9,26.5
2018,Washington,Whitworth University,100,47.0%,70.6,24.2
2018,West Virginia,American Public University System,8,50.0%,71.6,31.4
2018,West Virginia,Concord University,47,46.8%,70.1,26.5
2018,West Virginia,Davis & Elkins College,11,36.4%,57.9,30.0
2018,West Virginia,Fairmont State University,22,45.5%,65.1,19.6
2018,West Virginia,Marshall University,88,46.6%,71.4,29.5
2018,West Virginia,Shepherd University,25,52.0%,67.6,29.1
2018,West Virginia,University of Charleston,48,58.3%,72.0,24.2
2018,West Virginia,West Liberty University,19,31.6%,65.6,27.2
2018,West Virginia,West Virginia State University,40,37.5%,62.7,35.0
2918,West Virginia,West Virginia University,322,50.0%,70.3,26.1
2018,West Virginia,West Virginia University at Parkersburg,13,"7,7%",59.2,34.2
2018,West Virginia,West Virginia Wesleyan College,35,57.1%,74.3,27.6
2018,West Virginia,Wheeling Jesuit University,13,69.2%,75.0,29.6
2018,Wisconsin,Cardinal Stritch University,20,40.0%,63.6,29.0
2018,Wisconsin,Carroll University,31,48.4%,72.1,25.8
2018,Wisconsin,Carthage College,78,62.8%,73.2,23.0
2018,Wisconsin,Concordia University Wisconsin,51,68.6%,75.2,23.8
2018,Wisconsin,Edgewood College,45,53.3%,66.1,31.3
2018,Wisconsin,Lakeland College,68,35.3%,65.0,32.0
2018,Wisconsin,Marquette University,450,57.6%,73.6,24.7
2018,Wisconsin,Milwaukee Area Technical College,6,50.0%,70.3,30.7
2018,Wisconsin,Mount Mary University,9,66.7%,75.4,29.6
2018,Wisconsin,Saint Norbert College,77,54.5%,73.3,23.2
2018,Wisconsin,University of Wisconsin -Eau Claire,325,52.9%,74.1,24.8
2018,Wisconsin,University of Wisconsin -Green Bay,125,51.2%,71.0,26.2
2018,Wisconsin,University of Wisconsin -La Crosse,281,63.0%,76.0,24.1
2018,Wisconsin,University of Wisconsin-Madison,618,82.0%,81.6,24.2
2018,Wisconsin,University of Wisconsin-Milwaukee,397,63.2%,77.0,27.2
2018,Wisconsin,University of Wisconsin-Oshkosh,151,72.2%,79.1,24.7
2018,Wisconsin,University of Wisconsin-Parkside,37,48.6%,68.8,32.0
2018,Wisconsin,University of Wisconsin-Platteville,18,33.3%,66.4,28.0
2018,Wisconsin,University of Wisconsin-River Falls,57,40.4%,70.8,26.1
2018,Wisconsin,University of Wisconsin-Stevens Point,62,46.8%,70.4,25.1
2018,Wisconsin,University of Wisconsin -Superior,25,44.0%,67.8,31.0
2918,Wisconsin,University of Wisconsin-Whitewater,557,58.0%,75.1,25.0
2018,Wisconsin,Viterbo University,18,38.9%,66.4,31.6
2018,Wisconsin,Wisconsin Lutheran College,14,64.3%,71.0,23.0
2018,Wyoming,University of Wyoming,186,61.8%,75.3,27.1
